"","Category","Xcoord","Ycoord"
"daynum","daynum",0.37705063276953,0.000188633750457646
"X1team_seed","X1team_seed",-0.33366611349315,-3.02790566039694e-05
"X2team_seed","X2team_seed",-0.313115004623756,0.00101177104624013
"X1team","X1team",3.27908204902055,0.387309080141128
"wscore","wscore",0.0451818043754387,0.00266457920576144
"X2team","X2team",3.29859688542168,-0.38936805771429
"lscore","lscore",-0.022866290315886,0.000746951774138956
"loc_lat","loc_lat",-0.159191706835052,0.00170291813380219
"loc_long","loc_long",-0.851641366848761,-0.00411515531606263
"X1team_lat","X1team_lat",-0.156658274352408,0.00276980766314885
"X1team_long","X1team_long",-0.827507949901227,-0.00125713301009691
"X2team_lat","X2team_lat",-0.157165305167887,-0.00232396668370141
"X2team_long","X2team_long",-0.839034735657381,-0.00527557115921349
"X1team_tempo","X1team_tempo",-0.00104230562115066,-0.00257335315125812
"X2team_tempo","X2team_tempo",-0.00372641428637739,0.00358254793909525
"X1team_adj_tempo","X1team_adj_tempo",-0.00220391439403925,-0.00194572060750425
"X2team_adj_tempo","X2team_adj_tempo",-0.00464963511712438,0.00257734762341368
"X1team_off_eff","X1team_off_eff",0.226349074888051,-0.000407624613599493
"X2team_off_eff","X2team_off_eff",0.212914410605071,0.00130748417247289
"X1team_adj_off_eff","X1team_adj_off_eff",0.237479630479643,-0.000105121299241581
"X2team_adj_off_eff","X2team_adj_off_eff",0.21907393869554,0.00177175061902999
"X1team_def_eff","X1team_def_eff",0.143120358351603,0.00268681976119894
"X2team_def_eff","X2team_def_eff",0.153100780144636,0.00249679451020706
"X1team_adj_def_eff","X1team_adj_def_eff",0.135503990120646,0.00264969491991425
"X2team_adj_def_eff","X2team_adj_def_eff",0.149894040613381,0.0033959699790064
"X1team_fg2pct","X1team_fg2pct",-0.0905724847804839,-0.00308588927272329
"X2team_fg2pct","X2team_fg2pct",-0.0943292604933224,0.000708948431059426
"X1team_fg3pct","X1team_fg3pct",-0.167279372487716,-0.00292026226686476
"X2team_fg3pct","X2team_fg3pct",-0.169963428991857,0.0012556467197418
"X1team_ftpct","X1team_ftpct",0.0173614451702505,0.000458943111167908
"X2team_ftpct","X2team_ftpct",0.0151941748255084,0.000420489720324218
"X1team_blockpct","X1team_blockpct",-0.299825180249289,-0.00276677348239551
"X2team_blockpct","X2team_blockpct",-0.305621482407614,-0.000405156372711711
"X1team_oppfg2pct","X1team_oppfg2pct",-0.121939496409615,0.00172365923213371
"X2team_oppfg2pct","X2team_oppfg2pct",-0.11686468125557,-0.000157100671176082
"X1team_oppfg3pct","X1team_oppfg3pct",-0.186961116762649,-0.00253466315319192
"X2team_oppfg3pct","X2team_oppfg3pct",-0.183147592724028,0.0013790862615862
"X1team_oppftpct","X1team_oppftpct",0.00580278972713123,0.00165136933618604
"X2team_oppftpct","X2team_oppftpct",0.00713318816121461,0.000885020157625063
"X1team_oppblockpct","X1team_oppblockpct",-0.316036887702344,-0.00128287060922085
"X2team_oppblockpct","X2team_oppblockpct",-0.315026247880651,-0.00101229600333611
"X1team_f3grate","X1team_f3grate",-0.1943868367322,0.00197170056538344
"X2team_f3grate","X2team_f3grate",-0.186797823422237,-0.000684044921144714
"X1team_oppf3grate","X1team_oppf3grate",-0.190352191510694,-0.00173273675238094
"X2team_oppf3grate","X2team_oppf3grate",-0.188249607929836,0.000892665947607277
"X1team_arate","X1team_arate",-0.0611517738906237,-0.00184556495013623
"X2team_arate","X2team_arate",-0.0622205934502058,0.000425980148283886
"X1team_opparate","X1team_opparate",-0.0835193681120654,0.00211611805135224
"X2team_opparate","X2team_opparate",-0.0801285532904568,0.000767449879150244
"X1team_stlrate","X1team_stlrate",-0.358955230108731,-0.00142516995826385
"X2team_stlrate","X2team_stlrate",-0.358969639739436,-0.00141826924301649
"X1team_oppstlrate","X1team_oppstlrate",-0.359041851334556,-0.00143045504072506
"X2team_oppstlrate","X2team_oppstlrate",-0.359029475089541,-0.00141599349175783
