daynum,1team_seed,2team_seed,1team,wscore,2team,lscore,loc_lat,loc_long,1team_lat,1team_long,2team_lat,2team_long,1team_tempo,2team_tempo,1team_adj_tempo,2team_adj_tempo,1team_off_eff,2team_off_eff,1team_adj_off_eff,2team_adj_off_eff,1team_def_eff,2team_def_eff,1team_adj_def_eff,2team_adj_def_eff,1team_fg2pct,2team_fg2pct,1team_fg3pct,2team_fg3pct,1team_ftpct,2team_ftpct,1team_blockpct,2team_blockpct,1team_oppfg2pct,2team_oppfg2pct,1team_oppfg3pct,2team_oppfg3pct,1team_oppftpct,2team_oppftpct,1team_oppblockpct,2team_oppblockpct,1team_f3grate,2team_f3grate,1team_oppf3grate,2team_oppf3grate,1team_arate,2team_arate,1team_opparate,2team_opparate,1team_stlrate,2team_stlrate,1team_oppstlrate,2team_oppstlrate
134,16,16,766,81,508,77,39.7594,-84.1917,42.718586,-73.75153,31.877216,-91.142854,68.8425,76.0664,67.7359,73.8504,98.693,103.4213,98.6102,99.8665,96.3688,99.637,99.6885,106.45,45.6127,48.9138,34.626,37.5556,74.4032,64.2105,11.3308,9.434,42.6616,47.6981,33.6399,34.1071,69.6471,70.6505,10.5144,6.4471,35.3229,23.9744,36.657,29.7082,54.5135,54.3253,57.8947,56.8651,0.0778,0.108,0.102,0.1049
136,3,14,511,86,757,81,35.1107,-106.61,32.232071,-110.950769,34.415462,-119.848071,74.1462,63.2345,72.8207,64.7948,111.0077,105.2163,117.3877,105.4534,104.0411,96.0965,96.9262,97.6704,50,47.0414,37.6093,40.8247,73.0769,75.8117,7.2512,8.7185,47.8576,43.1723,34.7826,32.0968,70.1258,69.3679,8.4934,6.7061,33.6275,32.3549,31.9731,39.4402,56.4706,65.7778,54.8255,58.5246,0.0835,0.0868,0.0839,0.0778
136,12,5,676,93,668,80,35.1107,-106.61,38.626527,-90.336949,25.720406,-80.27645,70.7578,70.5375,70.5889,70.2876,112.716,104.5566,112.3241,108.2862,101.992,93.077,99.0919,93.5169,49.6829,47.7441,39.0887,34.5029,68.9704,77.1386,9.7222,15.6766,47.4747,45.0495,36.414,30.9064,66.8831,67.4847,7.8224,9.9262,37.0173,35.9432,25.4588,35.7029,52.2793,64.1809,54.8999,53.183,0.1029,0.1241,0.101,0.1028
136,4,13,720,69,568,64,35.1107,-106.61,39.998389,-83.009001,35.500006,-80.845236,66.3782,68.8836,68.1862,66.7211,111.3386,98.0026,115.5508,99.8067,96.5748,97.679,96.7318,95.7897,52.589,46.7928,37.5536,34.6278,67.5472,69.0299,6.8306,9.1155,49.9089,41.2455,32.0624,33.7736,70.1149,74.6711,8.8997,8.0967,27.3796,39.3881,34.4478,32.3565,58.5455,61.6085,54.8431,48.1132,0.0904,0.0898,0.0744,0.1109
136,11,6,852,73,607,66,35.1107,-106.61,41.311943,-105.57204,47.668144,-117.403062,69.6172,70.978,70.4124,70.1758,105.3654,112.7484,106.037,115.1777,97.0568,93.6616,96.6601,96.3415,50.6349,50.1169,30.8962,39.0706,69.6822,73.2446,10.4355,8.7981,43.1389,41.791,36.2205,33.2335,70.8783,68.5668,8.8095,7.7163,25.1781,31.1695,29.4493,34.4152,51.8856,57.8161,53.8787,50,0.096,0.0804,0.1068,0.0813
136,2,15,504,86,590,78,35.6017,-77.3725,33.2144,-87.545766,26.372536,-80.102293,69.8636,71.2357,69.9001,71.2446,108.4361,100.2897,111.4954,96.8669,95.2313,98.4183,93.877,99.9263,50.6579,45.0355,30.8677,33.9114,73.5782,66.7785,8.0468,8.1871,45.2085,48.538,31.7841,34.3925,68.2422,68.8172,7.1637,9.9291,33.945,26.9051,32.7925,30.8891,50.5495,56.5968,46.988,56.3399,0.1053,0.1282,0.0881,0.1076
136,1,16,577,84,848,37,35.6017,-77.3725,36.00159,-78.94226,34.93851,-81.028663,77.0734,68.2128,75.1685,67.4639,116.3726,100.2384,118.5999,95.3632,90.2544,94.6587,87.7504,99.9754,57.4329,47.642,36.2651,30.5603,68.9845,65.5914,7.2251,11.6301,46.2916,45.6625,30.2703,30.4104,68.8693,68.8372,7.4692,9.8171,37.5736,36.1794,26.1916,33.817,57.1821,49.037,49.5516,51.8692,0.1297,0.1108,0.0919,0.0987
136,10,7,639,69,722,61,35.6017,-77.3725,41.146856,-81.342253,36.123085,-97.069743,65.4145,68.8801,66.1658,67.3849,115.7547,103.9347,113.6686,104.227,96.7084,92.8097,96.201,91.8988,50.7947,49.3718,36.5812,32.7451,73.1034,64.4068,5.4849,8.641,46.1844,45.1689,32.4717,30.742,68.9051,68.231,5.5978,8.8692,28.7894,27.3752,32.9782,30.7776,48.4721,55.0898,50.6394,51.0013,0.0974,0.1124,0.0717,0.0997
136,8,9,717,82,546,63,35.6017,-77.3725,41.616717,-86.289848,35.306834,-80.73579,70.3693,68.4682,70.1299,68.4936,109,107.2881,113.8693,111.8788,95.8235,99.058,97.3342,97.3901,49.037,48.7666,37.8641,36.5385,71.194,70.7792,10.9142,6.1591,42.6648,45.1668,33.6538,34.4887,67.5325,69.0598,8.6667,7.4004,31.4024,39.0751,30.6634,33.047,67.0759,54.6649,56.5271,53.2325,0.1099,0.0987,0.1016,0.085
136,5,12,625,75,821,56,38.5556,-121.4689,39.166383,-86.526904,40.762484,-111.846044,65.7442,62.6181,66.5739,63.3547,105.3974,107.7123,109.6136,108.6231,94.4987,97.4318,89.9224,95.6459,48.3696,50.306,40,40.4719,69.4561,67.9443,12.5086,7.3961,42.8866,49.1388,35.5839,31.8302,66.4013,70.6406,10.0155,7.3439,33.0213,40.2778,27.359,27.6393,58.4949,63.7224,48.2295,51.5702,0.1045,0.0922,0.1075,0.0927
