Category,Xcoord,Ycoord
daynum,230.3244669,56.91182172
1team_seed,-113.0080515,68.93517322
2team_seed,-188.6984143,74.33341964
1team,-200.974042,-16.81260941
wscore,92.4090021,44.58005565
2team,-94.39425896,141.6207555
lscore,47.34417393,243.3362561
loc_lat,216.301037,165.6219673
loc_long,185.2546513,-52.03063483
1team_lat,-57.07544636,254.6061776
1team_long,48.53188126,154.2955455
2team_lat,-27.68200706,-165.2455324
2team_long,153.2624708,21.88608245
1team_tempo,340.119501,-40.43838955
2team_tempo,243.0327184,-233.3292697
1team_adj_tempo,324.7536069,-62.18220557
2team_adj_tempo,250.5996788,-207.82467
1team_off_eff,-267.5379825,-109.3587954
2team_off_eff,1.329451519,-267.6293969
1team_adj_off_eff,-296.048853,-110.2596945
2team_adj_off_eff,-21.86082371,-291.3503968
1team_def_eff,-179.0396708,232.1024414
2team_def_eff,-278.0188438,101.7740753
1team_adj_def_eff,-172.7897942,204.3618578
2team_adj_def_eff,-249.1442546,93.13686622
1team_fg2pct,-156.0851173,-132.5659729
2team_fg2pct,102.3729444,114.8087324
1team_fg3pct,-87.02654762,-2.804842023
2team_fg3pct,-34.28829479,-10.61920555
1team_ftpct,-128.6276406,-17.33013691
2team_ftpct,114.0320177,-177.9866204
1team_blockpct,-90.10293005,-81.87023496
2team_blockpct,35.65393804,-83.2413781
1team_oppfg2pct,4.91145015,113.576686
2team_oppfg2pct,43.28801241,-146.0545963
1team_oppfg3pct,-42.42900648,37.70364755
2team_oppfg3pct,66.9188516,-17.30010003
1team_oppftpct,-44.98841218,-80.45192776
2team_oppftpct,-16.28236468,-94.20185313
1team_oppblockpct,40.85211265,86.04893969
2team_oppblockpct,15.61778781,-27.72492444
1team_f3grate,-23.28105374,176.3256748
2team_f3grate,107.577001,-98.60762516
1team_oppf3grate,-188.1188055,-162.9706857
2team_oppf3grate,150.4261854,108.9562279
1team_arate,-113.6096292,-165.0627784
2team_arate,121.0540756,169.2782362
1team_opparate,-48.06583137,93.23196164
2team_opparate,106.2705312,-34.11743303
1team_stlrate,0.633532351,20.78452081
2team_stlrate,38.77459339,44.30061598
1team_oppstlrate,32.95053694,12.16080265
2team_oppstlrate,4.5818657,54.69336862
