Category,Xcoord,Ycoord
Jitter->F0_abs_dif,17.11414185,27.42551483
Jitter->F0_dif_percent,78.86659637,35.87260171
Jitter->F0_PQ5_classical_Schoentgen,-35.99989613,-40.30059054
Jitter->F0_PQ5_classical_Baken,46.58955693,-36.28456438
Jitter->F0_PQ5_generalised_Schoentgen,-38.04642275,-59.91747372
Jitter->F0_abs0th_perturb,-67.32728735,65.81755741
Jitter->F0_CV,2.971719328,-37.15721118
Jitter->F0_TKEO_mean,-65.34588439,107.6428074
Jitter->F0_TKEO_std,-13.96291473,122.8346877
Jitter->F0_TKEO_prc5,-55.34264078,-156.7864961
Jitter->F0_TKEO_prc25,13.9980352,63.29612849
Jitter->F0_TKEO_prc75,62.1225931,-92.37230994
Jitter->F0_TKEO_prc95,-95.2733355,-27.05825382
Jitter->F0_FM,65.49872857,45.93865387
Jitter->F0range_5_95_perc,-85.99778094,86.94791914
Jitter->pitch_abs,36.69510458,-33.9553029
Jitter->pitch_percent,76.25501288,34.30125095
Jitter->pitch_PQ5_classical_Schoentgen,-34.12777432,-37.64514511
Jitter->pitch_PQ5_classical_Baken,44.37789138,-19.22659904
Jitter->pitch_PQ5_generalised_Schoentgen,-22.62195127,-50.23171458
Jitter->pitch_abs0th_perturb,-6.955506008,-41.73922047
Jitter->pitch_CV,17.79770796,-33.59541221
Jitter->pitch_TKEO_mean,44.0053564,-27.02992238
Jitter->pitch_TKEO_std,39.7105206,-28.26125851
Jitter->pitch_TKEO_prc5,48.02927585,-29.9913651
Jitter->pitch_TKEO_prc25,43.00099409,-31.87124085
Jitter->pitch_TKEO_prc75,47.658088,-24.45685486
Jitter->pitch_TKEO_prc95,40.65357682,-23.33687211
Jitter->pitch_FM,63.39986192,48.17072367
Jitter->pitch_range_5_95_perc,-39.47685378,-63.43992624
Shimmer->Ampl_abs_dif,51.91212408,3.089079121
Shimmer->Ampl_dif_percent,-113.0697992,86.75834335
Shimmer->Ampl_PQ3_classical_Schoentgen,54.0056779,8.45407144
Shimmer->Ampl_PQ3_classical_Baken,72.08177827,-26.81852058
Shimmer->Ampl_PQ3_generalised_Schoentgen,54.96241015,20.59722813
Shimmer->Ampl_PQ5_classical_Schoentgen,57.44386559,13.81082077
Shimmer->Ampl_PQ5_classical_Baken,-5.496460321,-36.41833894
Shimmer->Ampl_PQ5_generalised_Schoentgen,58.43267285,23.19489779
Shimmer->Ampl_PQ11_classical_Schoentgen,60.81871191,17.54423957
Shimmer->Ampl_PQ11_classical_Baken,7.685385172,-47.88512227
Shimmer->Ampl_PQ11_generalised_Schoentgen,54.51100876,24.64841499
Shimmer->Ampl_abs0th_perturb,71.77725846,-54.51119821
Shimmer->Ampl_dB,101.7888072,54.23312049
Shimmer->Ampl_CV,50.33646897,11.37765162
Shimmer->Ampl_TKEO_mean,40.10072097,-42.84819626
Shimmer->Ampl_TKEO_std,55.73385904,0.205945106
Shimmer->Ampl_TKEO_prc5,27.60209816,-77.41360194
Shimmer->Ampl_TKEO_prc25,24.2532183,-80.52516855
Shimmer->Ampl_TKEO_prc75,-41.13148488,-70.53570716
Shimmer->Ampl_TKEO_prc95,50.89247104,-3.093567624
Shimmer->Ampl_AM,62.41247525,5.505416539
HNR->HNR_dB_Praat_mean,15.43125781,-59.19600757
HNR->HNR_dB_Praat_std,-13.11188966,13.21195065
NHR->NHR_Praat_mean,102.5866387,49.54547894
NHR->NHR_Praat_std,72.53457107,50.53151457
OQ->prc5_95,20.07335255,-84.51162626
OQ->std_cycle_open,-67.02088233,94.55259882
OQ->std_cycle_closed,-67.80644802,73.05552813
RPDE,44.2484983,-0.299439754
DFA,110.1096485,-30.38161229
PPE,58.62251821,43.277925
GNE->mean,-10.00545499,9.718211621
GNE->std,-7.677952812,5.50282247
GNE->SNR_TKEO,-15.41802525,-4.252683428
GNE->SNR_SEO,-58.92565672,-156.7387837
GNE->NSR_TKEO,-17.05051041,-6.760997686
GNE->NSR_SEO,66.49564895,1.782519347
VFER->mean,-49.80418758,-53.19181052
VFER->std,-39.6380285,-28.18587537
VFER->entropy,17.0522927,60.3742788
VFER->SNR_TKEO1,-56.4208075,29.3135149
VFER->SNR_TKEO,-20.2321817,34.5742081
VFER->SNR_SEO,-50.84798107,30.60416759
VFER->NSR_TKEO1,-166.2245924,-65.48281032
VFER->NSR_TKEO,-166.5085724,-59.6377213
VFER->NSR_SEO,-168.8836165,-64.44677614
IMF->SNR_SEO,3.55118656,12.33194315
IMF->SNR_TKEO,-11.95775331,0.418009327
IMF->SNR_entropy,-0.857199662,11.23977041
IMF->NSR_SEO,116.3828704,-27.78223905
IMF->NSR_TKEO,48.71228679,-89.39838812
IMF->NSR_entropy,115.6005221,-30.60377836
Log energy,9.57740751,37.1132981
MFCC_0th coef,8.316100755,42.18649767
MFCC_1st coef,326.8277398,286.6334192
MFCC_2nd coef,329.0155697,288.5467533
MFCC_3rd coef,53.43666569,-87.44176743
MFCC_4th coef,7.735154352,28.50740166
MFCC_5th coef,10.43524696,-82.2233487
MFCC_6th coef,60.74524239,-86.83504508
