Category,Xcoord,Ycoord
WSR0,-0.145855803,-0.001508621
WSR1,-0.145898263,-0.001524976
WSR2,-0.145913041,-0.001566456
WSR3,-0.145927278,-0.001588264
WSR4,-0.145927576,-0.001629374
WSR5,-0.145900489,-0.001644822
WSR6,-0.145826062,-0.001590021
WSR7,-0.145585971,-0.001457056
WSR8,-0.145305901,-0.001489959
WSR9,-0.145139216,-0.001605789
WSR10,-0.145055281,-0.001698811
WSR11,-0.145014251,-0.00177333
WSR12,-0.144979945,-0.001760099
WSR13,-0.14493115,-0.001735463
WSR14,-0.144880807,-0.001678664
WSR15,-0.14485409,-0.00161017
WSR16,-0.144887671,-0.001539554
WSR17,-0.145046312,-0.001433626
WSR18,-0.145249572,-0.001363388
WSR19,-0.145412234,-0.001380189
WSR20,-0.145512796,-0.001410278
WSR21,-0.145614922,-0.00141792
WSR22,-0.145688115,-0.001434141
WSR23,-0.145750139,-0.001414947
WSR_PK,-0.144440662,-0.001635767
WSR_AV,-0.145416393,-0.001577374
T0,-0.137144428,0.001483817
T1,-0.137303237,0.001506441
T2,-0.137442161,0.001539065
T3,-0.137564353,0.001567081
T4,-0.137673547,0.001593169
T5,-0.137739788,0.001633295
T6,-0.137656674,0.001783745
T7,-0.137173873,0.002010388
T8,-0.136412485,0.001992382
T9,-0.135627986,0.001855032
T10,-0.134984683,0.001737245
T11,-0.134508482,0.00165004
T12,-0.134165296,0.00156619
T13,-0.133933742,0.001475224
T14,-0.133782955,0.001379907
T15,-0.133772617,0.001274003
T16,-0.133948846,0.001233954
T17,-0.134362423,0.001244996
T18,-0.13495524,0.001271328
T19,-0.135504087,0.001245828
T20,-0.135913108,0.001225669
T21,-0.136209061,0.001221538
T22,-0.136458847,0.001211389
T23,-0.136675731,0.00119769
T_PK,-0.133417089,0.001390415
T_AV,-0.135872621,0.001495141
T85,-0.13979105,0.000577715
RH85,-0.146406946,-0.001335189
U85,-0.145612071,-0.003290115
V85,-0.146037454,0.000618865
HT85,0.622245552,0.004495181
T70,-0.143578354,0.000277896
RH70,-0.146500602,-0.001339343
U70,-0.143801144,-0.004337308
V70,-0.147174757,-1.89E-05
HT70,1.431533735,0.01460673
T50,-0.152021676,0.000322194
RH50,-0.146554351,-0.001356547
U50,-0.141460267,-0.005759415
V50,-0.147765998,-0.002526403
HT50,2.771947344,0.028593422
KI,-0.141691748,0.007742563
TT,-0.126843006,0.000557385
SLP,4.948851918,-0.021649277
SLP_,-0.155796022,-0.011816742
Precp.....continuous.,-0.146615492,-0.001332323
Unnamed..72,-0.146710313,-0.001346274
