Category,Xcoord,Ycoord
Easements,0.000687242,0.00160724
LotArea,-0.001379832,0.007861471
BldgArea,-0.004107032,-0.010178712
NumBldgs,-0.001669767,-0.003511237
NumFloors,0.002965854,0.002589701
UnitsRes,-0.474078065,-0.150194058
UnitsTotal,0.475641559,0.15198236
LotFront,0.00183474,-0.00096001
LotDepth,-0.002071738,0.007480943
BldgFront,-0.000934877,-0.007624934
BldgDepth,0.002256083,-0.005419556
AssessLand,0.125751844,-0.404565293
AssessTot,-0.087974062,0.262674209
ExemptLand,-0.123103179,0.394276626
ExemptTot,0.084329252,-0.248994978
YearBuilt,-0.000593015,0.000778599
BuiltFAR,0.000495696,0.000605766
ResidFAR,0.000553611,4.65E-05
CommFAR,0.000687646,0.001338735
FacilFAR,-0.000476146,-0.000527171
XCoord,0.000790415,0.000525442
YCoord,0.000393771,0.000208321
