Category,Xcoord,Ycoord
Easements,7.790383272,40.98140785
LotArea,22.54752538,-4.40029847
BldgArea,-56.58116895,-41.0588658
ComArea,-15.0973747,-17.34992402
ResArea,7.490321356,-21.8925372
OfficeArea,-39.36415474,-13.77215978
RetailArea,-65.32377121,-14.39745019
GarageArea,69.80112971,2.558664429
StrgeArea,-71.64694153,13.85001133
FactryArea,-37.09545978,59.13049954
OtherArea,31.58031058,-27.20421388
NumBldgs,31.07914063,35.67555685
NumFloors,23.8628592,-68.96382008
UnitsRes,-7.318781289,69.52796214
UnitsTotal,45.15473623,-49.36755678
LotFront,60.32651221,28.96812428
LotDepth,20.18080367,63.82364149
BldgFront,15.20720568,17.45841583
BldgDepth,-5.051209154,-66.79137742
AssessLand,-46.41854718,9.078382564
AssessTot,46.48149717,-9.101074121
ExemptLand,-31.11981567,-35.73235743
ExemptTot,-15.33216289,44.79874895
YearBuilt,-55.27253686,37.78507555
YearAlter1,15.35503042,-44.73446634
YearAlter2,63.84402494,-28.44279611
BuiltFAR,-8.240939434,-40.93892368
ResidFAR,-32.67694503,-61.73322957
CommFAR,-7.466924772,21.73939795
FacilFAR,39.53822555,13.30669158
CondoNo,-31.30816292,27.60646195
XCoord,-0.018218962,0.011743147
YCoord,47.82563699,55.14006689
