Easements,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR,XCoord,YCoord
1,14200,34800,1,2,0,1,213,234,260,100,129600,1689831,129600,1689831,1932,2.45,2.43,3.4,4.8,963387,172845
1,334565,34941,4,4,0,1,372,234,241,41,1286550,1785254,1286550,1785254,1931,0.1,2.43,3.4,4.8,963621,172927
1,40000,171935,2,9,128,128,178.75,135,100,100,121500,2835450,121500,278199,1984,4.3,2.43,3.4,4.8,963645,171757
1,349283,881000,3,5,0,1,1599,1600,683,160,707400,1049850,0,0,1888,2.52,0,2,0,958014,174458
1,50000,38915,1,1,0,1,200,202,181,167,168750,239400,0,0,1928,0.78,0,1,2.4,960129,174477
1,232000,0,0,0,0,0,1856,258,0,0,148950,148950,148950,148950,0,0,0,0,0,954801,174273
1,58800,20510,1,3,0,1,173,353,75,91,422550,1869507,422550,1869507,1987,0.35,0.5,0,1,955437,170727
1,526350,546355,7,7,0,1,665,870,98,50,4737150,39577275,4737150,39577275,1903,1.04,0.5,0,1,954952,170961
1,7812,2500,1,2.5,1,1,62,125,26,42,15912,27648,1610,1610,1930,0.32,0.5,0,1,955124,171989
1,81900,67914,1,6,0,1,300,273,154.75,63,567000,2529090,567000,2529090,1969,0.83,0.5,0,1,955111,171351
1,882,2504,2,2,2,2,50,126,26,50,1223,17362,1223,1610,1920,2.84,0.6,0,1,952703,172553
1,882,1280,1,2,2,2,49.75,126,16.42,47,1200,12540,0,0,1905,1.45,0.6,0,1,952583,172507
1,610,1776,1,2.5,2,2,40,119,19,41,1140,12720,0,0,1920,2.91,0.6,0,1,952470,172184
1,725,2709,2,2.5,2,2,50,145,22,50,1451,17235,1451,13350,1920,3.74,0.6,0,1,952336,172170
1,30979,10800,3,1,0,5,302.01,140,43,252,188550,248850,0,0,1986,0.35,0,2,0,950496,172361
2,25835,250,2,1,0,1,207,426,10,25,74700,79650,0,0,2002,0.01,0,1,2.4,948944,171709
1,61140,38000,1,1,0,1,268.08,294,268,263,371250,837450,0,0,1936,0.62,0,1,2.4,948673,171684
1,65200,27443,1,1,0,1,349,187,165,150,440100,553950,0,0,1900,0.42,0,1,2.4,951155,172469
1,105000,47526,2,3,0,1,257,425,178,200,819000,2799000,819000,2799000,1931,0.45,0.6,0,1,949029,169032
1,7093,2032,1,2,1,1,50.51,118,14,48,9360,21420,0,2399,2003,0.29,0.6,0,1,949157,169205
