Category,Xcoord,Ycoord
Feature 1,-0.117332468,0.082788748
Feature 2,-0.101920831,0.078593877
Feature 3,-0.151178755,0.006026759
Feature 4,-0.164436265,0.017922812
Feature 5,-0.13824615,0.061037601
Feature 6,-0.128518007,-0.113676877
Feature 7,-0.136472706,0.034938008
Feature 8,-0.193621289,-0.021374866
Feature 9,-0.195371871,0.001710484
Feature 10,-0.186744385,-0.054540036
Feature 11,-0.154693302,-0.058107506
Feature 12,-0.110262837,0.042580705
Feature 13,-0.161626247,-0.037106198
Feature 14,-0.18305843,-0.040806149
Feature 15,-0.168039865,-0.074587458
Feature 16,-0.16924033,-0.089000496
Feature 17,-0.143423568,-0.111486833
Feature 18,-0.160424267,0.084280599
Feature 19,-0.162132893,0.08081805
Feature 20,-0.166542969,-0.008402509
Feature 21,-0.140473274,0.031334168
Feature 22,-0.116930533,0.006560239
Feature 23,-0.132168439,-0.004887582
Feature 24,-0.140389238,-0.015081689
Feature 25,-0.144244647,-0.045553911
Feature 26,-0.133071085,-0.029670463
Feature 27,-0.087444897,0.014016362
Feature 28,-0.073024558,0.043259694
Feature 29,-0.067982634,0.032625174
Feature 30,-0.057987025,0.046165847
Feature 31,-0.032358285,0.034122376
Feature 32,-0.04275751,0.030380873
Feature 33,-0.032429531,0.024272964
Feature 34,-0.040441592,0.010863564
Feature 35,-0.151975169,0.034653498
Feature 36,-0.103087392,0.040553542
Feature 37,-0.106649645,-0.04642986
Feature 38,-0.069666612,-0.073318819
Feature 39,-0.065958617,-0.004979278
Feature 40,-0.112280904,-0.074786474
Feature 41,-0.098421207,-0.080202194
Feature 42,-0.079656892,-0.094282292
Feature 43,-0.08023701,-0.062003199
Feature 44,-0.011534367,-0.017698469
Feature 45,-0.042474405,-0.024830231
Feature 46,-0.069756049,-0.035055808
Feature 47,-0.037568874,-0.05930893
Feature 48,-0.01929714,-0.023127994
Feature 49,-0.016267007,-0.050718064
Feature 50,0.01420147,-0.03367933
Feature 51,0.00554949,-0.077006013
Feature 52,-0.176690983,0.0126293
Feature 53,-0.167764573,0.023060075
Feature 54,-0.131951224,-0.074021813
Feature 55,-0.105810823,-0.029552562
Feature 56,-0.097722594,-0.019507682
Feature 57,-0.12262918,-0.049572056
Feature 58,-0.087697661,-0.102748954
Feature 59,-0.100265755,-0.091806339
Feature 60,-0.080641493,-0.069722473
Feature 61,-0.052655743,-0.076999163
Feature 62,-0.033267406,-0.019331351
Feature 63,-0.04690424,-0.036590488
Feature 64,-0.033019821,-0.064708778
Feature 65,0.002705512,-0.009565279
Feature 66,-0.029759143,-0.038634367
Feature 67,-0.008312402,-0.039475358
Feature 68,-0.017018495,-0.091211909
Latitude,1.495812882,2.003519321
Longitude,5.173664151,-0.60355654
