Category,Xcoord,Ycoord
Feature 1,59.58429488,81.43063399
Feature 2,46.54907389,85.33682691
Feature 3,-3.576797679,98.30109288
Feature 4,-280.6894744,0.723695734
Feature 5,97.24620419,107.1465938
Feature 6,61.83869038,22.9720658
Feature 7,87.77863075,0.288866306
Feature 8,-143.6452806,-147.7379322
Feature 9,-138.0278845,-131.7444984
Feature 10,13.38338883,34.6709148
Feature 11,129.2279475,-5.290184596
Feature 12,81.24344659,69.10665529
Feature 13,-15.16957622,27.03344992
Feature 14,-10.25032575,-14.1703359
Feature 15,102.8602536,33.80322214
Feature 16,154.7100782,-8.160618478
Feature 17,75.48031187,-155.2223833
Feature 18,-15.64943646,165.8527522
Feature 19,-28.75687891,140.8304797
Feature 20,-19.17648796,95.93732008
Feature 21,-267.0649362,3.222153817
Feature 22,-45.62303826,6.236610497
Feature 23,-28.73116158,7.679699454
Feature 24,-155.5440565,-44.49217682
Feature 25,133.9131363,139.0941185
Feature 26,11.63517655,-61.36243084
Feature 27,-98.0967996,-18.06146088
Feature 28,-0.691531409,-103.1001658
Feature 29,63.15296627,-79.05121584
Feature 30,82.24680778,-86.23665907
Feature 31,-57.60217729,-78.57133161
Feature 32,-84.20627248,25.76559964
Feature 33,159.137621,51.9625922
Feature 34,-189.3610771,57.08319984
Feature 35,-56.61098747,-162.2108786
Feature 36,61.65600612,164.2129494
Feature 37,13.26774808,98.3850751
Feature 38,91.95871944,-34.82948928
Feature 39,25.1670399,62.56855709
Feature 40,48.87672551,-101.3596775
Feature 41,-118.9233416,-52.90171645
Feature 42,138.0972688,173.1883499
Feature 43,16.08027924,-35.76559408
Feature 44,-0.141344432,-161.5463189
Feature 45,0.043332987,-142.7876112
Feature 46,60.25980622,-26.97944266
Feature 47,115.5914047,-111.6802084
Feature 48,-48.08641075,-60.07046217
Feature 49,-24.59744625,-54.72738826
Feature 50,152.0206016,85.26232886
Feature 51,-151.5385987,56.66733261
Feature 52,-69.79529121,-156.5867288
Feature 53,63.69830634,184.4944533
Feature 54,-40.46831265,100.9088616
Feature 55,66.32239372,0.255000465
Feature 56,33.35397336,3.380689481
Feature 57,-97.59683974,-70.97597226
Feature 58,-145.3250948,-53.11630482
Feature 59,136.2248661,154.2551305
Feature 60,25.13682077,-57.5043076
Feature 61,-109.0121159,-7.723460505
Feature 62,-1.835470659,-118.2345555
Feature 63,65.04551171,-45.62765483
Feature 64,99.64762471,-91.78650345
Feature 65,-70.92757561,-56.89550255
Feature 66,-74.42404341,36.53550158
Feature 67,149.3167607,63.68989871
Feature 68,-175.2661877,58.71386157
Latitude,-86.06276631,89.75051152
Longitude,130.7218016,-50.23587358
