"","Easements","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","BuiltFAR","ResidFAR","CommFAR","FacilFAR","CondoNo","XCoord","YCoord"
"Easements","Monotonic","Monotonic","Skewed","Monotonic","Monotonic","Monotonic","Monotonic","Monotonic","Monotonic","Monotonic","Monotonic","Monotonic","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Monotonic","Monotonic","Skewed","Monotonic","Monotonic","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
"LotArea","Monotonic","Monotonic","Skewed","Skewed","Stringy","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
"BldgArea","Skewed","Skewed","Monotonic","Stringy","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed"
"ComArea","Monotonic","Skewed","Stringy","Monotonic","Monotonic","Skewed","Skewed","Skewed","Stringy","Skewed","Outlying","Monotonic","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Monotonic","Skewed","Skewed"
"ResArea","Monotonic","Stringy","Skewed","Monotonic","Monotonic","Stringy","Monotonic","Monotonic","Stringy","Stringy","Monotonic","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Monotonic","Stringy","Skewed","Monotonic","Monotonic","Skewed","Skewed","Stringy","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed"
"OfficeArea","Monotonic","Skewed","Skewed","Skewed","Stringy","Monotonic","Monotonic","Monotonic","Monotonic","Outlying","Monotonic","Monotonic","Skewed","Monotonic","Stringy","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Outlying","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
"RetailArea","Monotonic","Skewed","Skewed","Skewed","Monotonic","Monotonic","Monotonic","Monotonic","Stringy","Stringy","Monotonic","Monotonic","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Skewed","Skewed","Skewed","Monotonic","Monotonic","Skewed","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
"GarageArea","Monotonic","Skewed","Skewed","Skewed","Monotonic","Monotonic","Monotonic","Monotonic","Stringy","Monotonic","Monotonic","Monotonic","Stringy","Stringy","Monotonic","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Monotonic","Monotonic","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
"StrgeArea","Monotonic","Skewed","Skewed","Stringy","Stringy","Monotonic","Stringy","Stringy","Monotonic","Monotonic","Stringy","Monotonic","Skewed","Stringy","Stringy","Skewed","Skewed","Skewed","Skewed","Monotonic","Skewed","Monotonic","Monotonic","Skewed","Skewed","Monotonic","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
"FactryArea","Monotonic","Skewed","Skewed","Skewed","Stringy","Outlying","Stringy","Monotonic","Monotonic","Monotonic","Monotonic","Monotonic","Skewed","Stringy","Stringy","Skewed","Skewed","Skewed","Skewed","Stringy","Skewed","Stringy","Monotonic","Skewed","Skewed","Monotonic","Monotonic","Skewed","Skewed","Skewed","Stringy","Skewed","Skewed"
