Category,Xcoord,Ycoord
WSR0,190.6528629,-336.3508623
WSR1,200.999623,-320.0501618
WSR2,233.6446822,49.82509194
WSR3,226.6451869,68.27360804
WSR4,199.122535,108.522631
WSR5,183.652221,121.2406984
WSR6,29.55234729,90.7183684
WSR7,-195.6842578,23.32399504
WSR8,53.97732037,143.4170527
WSR9,93.68729305,115.5094239
WSR10,95.72938204,88.50619148
WSR11,88.62038419,66.08297558
WSR12,-139.371796,-21.89800344
WSR13,-166.0630573,-31.6076448
WSR14,-130.301171,-153.0772054
WSR15,-138.387173,-133.1528035
WSR16,-177.8086693,-105.0674453
WSR17,-4.380649437,142.3885247
WSR18,-29.89001081,113.0562457
WSR19,50.53262649,234.4741064
WSR20,24.21795267,236.4457671
WSR21,-8.16122755,240.4794546
WSR22,-37.85000518,240.4736545
WSR23,-59.73608762,247.7517453
WSR_PK,13.91165754,-45.51713092
WSR_AV,0.458573992,107.4764946
T0,-83.99563217,155.4252953
T1,-108.4493453,147.1832128
T2,-87.70502737,126.785076
T3,-115.1363158,117.0519069
T4,-91.86563288,98.91413478
T5,-117.5787462,86.49415665
T6,-95.01160676,70.10773787
T7,-68.89524775,57.99928402
T8,-55.93448451,32.35085073
T9,-54.21257249,3.356826604
T10,-56.17478498,-23.17051472
T11,-45.44054914,-45.80724611
T12,-33.91789133,-74.76581845
T13,-22.01140519,-99.73343043
T14,-5.564178413,-120.410025
T15,19.58459497,-111.9039523
T16,42.86228573,-116.9933789
T17,57.87880934,-91.98359652
T18,92.51729405,-73.22663096
T19,121.7751506,-66.44757645
T20,148.1018659,-60.9490517
T21,168.8788594,-76.29908985
T22,185.7317517,-55.55365348
T23,200.2809264,-73.68192365
T_PK,-2.478786083,-74.0552597
T_AV,-25.67670986,28.95942232
T85,102.2370817,-195.5788711
RH85,-102.9952907,19.59915077
U85,-337.2129067,82.99449818
V85,-222.9804281,95.22463146
HT85,184.7145935,-190.5242139
T70,111.5066592,-229.6837999
RH70,106.2244747,-115.4690386
U70,-334.0398752,52.26809188
V70,-256.466677,93.91436452
HT70,155.0480062,-201.1289924
T50,144.5169005,-248.4392149
RH50,-98.51665054,-60.81320894
U50,-332.7087085,33.16511176
V50,-11.55122389,0.111533758
HT50,135.8927022,-215.824545
KI,79.95289439,-28.0583202
TT,91.35577633,-5.531959899
SLP,203.9006874,-179.3346497
SLP_,-175.307407,149.7244783
Precp,-23.13364398,60.3834555
Unnamed: 72,14.22987031,32.10997102
