"","Easements","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","BuiltFAR","ResidFAR","CommFAR","FacilFAR","CondoNo","XCoord","YCoord"
"Easements",1,0.95082716585561,0.912508047318288,0.876256591280111,0.967052689135922,0.951367402119437,0.95377737649248,0.959568642192735,0.965033807020845,0.975927885308694,0.960288181983158,0.922623678375577,0.961474711016945,0.968077357019723,0.973398542709495,0.922773425551901,0.898948076850075,0.89257466426297,0.94333967504183,0.964682304348531,0.950117267675868,0.974198034980515,0.947212648738309,0.919924674352862,0.897409566059469,0.951862926010334,0.936065001257023,0.84499706307544,0.989829564956335,0.984313842661902,1,0.910377922443271,0.921377599808977
"LotArea",0.95082716585561,1,0.937090653249315,0.949600022184086,1,0.944021248889826,0.951504939504139,0.963949403746355,0.952604044406535,0.96288780469663,0.935746270987843,0.923511254859192,0.966729869596452,1,0.961845501222718,0.918519992446934,0.900097840592979,0.888739875955142,0.968914110842571,0.919708513529739,0.953833422551664,0.91653067462284,0.947330062272329,0.931728036822534,0.949501391016669,0.973091573841938,1,0.938493464362261,0.959460225484496,0.94433617100166,1,0.910855783560056,0.917141418799329
"BldgArea",0.912508047318288,0.937090653249315,1,0.869740796393689,0.857504831669278,0.889705441374899,0.934147373626178,0.940187715417718,0.875195879173032,0.928595034471989,0.947107139801993,0.874405325367424,0.905520914496295,0.89242303563335,0.919545210704949,0.907558049976692,0.910675584054909,0.878663182624798,0.850966802696593,0.886433689028923,0.87535711451968,0.957558443020205,0.940448154767731,0.771194815955731,0.855870967099986,0.89461545205185,0.771806734338445,0.889592022951273,0.939877665348078,0.901007739904923,0.741672993471541,0.862622817834939,0.849417624152732
"ComArea",0.876256591280111,0.949600022184086,0.869740796393689,1,0.971497418490066,0.893899185316719,0.908329366840709,0.892193608132275,0.850269718617874,0.900467703607293,1,0.954211391222647,0.858307000966318,0.967925552046209,0.920895402251658,0.923674532932732,0.907519218321781,0.91709549698617,0.914675434308079,0.857376022042488,0.909624580455089,0.896816997345152,0.894258423209957,0.878652718082249,0.876554648052052,0.90577258922419,0.89182518259749,0.91277136074378,0.937820335639313,0.923559678756824,0.977927931784717,0.865984154473921,0.86436580543569
"ResArea",0.967052689135922,1,0.857504831669278,0.971497418490066,1,1,0.994265972531713,0.994226628972472,1,1,0.991846261648763,0.866125458151246,0.886789726227936,0.967387068942371,0.894635664839216,0.863779893169915,0.867324287672495,0.933902293188668,0.946063406575868,1,0.868631851682476,0.993658573433075,0.97284680721322,0.877387946711566,0.833822677373073,0.909149169921875,0.839678702516943,0.922612119448165,0.921258785977655,0.93850247576463,0.758960073553425,0.855742319075053,0.842409348436307
"OfficeArea",0.951367402119437,0.944021248889826,0.889705441374899,0.893899185316719,1,1,0.990781266765173,0.976556780116131,0.978930300867441,1,0.985638846991062,0.981901960828539,0.918176529410782,0.988492757743511,1,0.923261118515467,0.867746255721119,0.87497375320678,0.918625480725882,0.951921764692672,0.920490885181454,0.980336661000463,0.932340721193734,0.940919738121809,0.930822024869547,0.924429086031284,0.907142724187196,0.942633194501305,0.893344319103623,0.922873478333682,1,0.893726072316157,0.901362094229711
"RetailArea",0.95377737649248,0.951504939504139,0.934147373626178,0.908329366840709,0.994265972531713,0.990781266765173,1,0.993001958328231,1,1,0.989800188899942,0.986415150405814,0.967146458952889,0.993749128786269,0.981381439187732,0.885609147916123,0.872802224834504,0.911705419876837,0.94381358244852,0.920189476709103,0.925581404355431,0.99470433604196,0.979678978522044,0.926193321593409,0.955665985729506,0.951721763575691,0.968260835610198,0.934725997061723,0.967114687841052,0.950157308685419,1,0.871324251480492,0.85098255597119
"GarageArea",0.959568642192735,0.963949403746355,0.940187715417718,0.892193608132275,0.994226628972472,0.976556780116131,0.993001958328231,1,1,0.995036435445364,0.991027620414446,0.987938441906577,1,1,0.994981307544315,0.930073793601884,0.939351228018465,0.913718789999143,0.962488779966651,1,0.957844296189269,0.993286220724453,0.982348574993155,0.948670545691753,0.90684000425923,0.979813190436179,0.926827195415708,0.928865465188077,0.963206847696289,0.960094880130545,1,0.756823504805073,0.850412421264902
"StrgeArea",0.965033807020845,0.952604044406535,0.875195879173032,0.850269718617874,1,0.978930300867441,1,1,1,0.99815789000256,1,0.973809867595025,0.968282340906989,1,1,0.905362340488543,0.911473721664495,0.881073924922352,0.954628572888373,0.958412125203707,0.952557097998301,0.997454749959492,0.990675013560465,0.870238602737614,0.982845398321785,0.987732853972114,0.907234500402297,0.919271263255716,0.94793848478267,0.906875222215108,1,0.858026595227933,0.887698747740007
"FactryArea",0.975927885308694,0.96288780469663,0.928595034471989,0.900467703607293,1,1,1,0.995036435445364,0.99815789000256,1,0.991733976092304,0.975689814098575,0.972866416176473,1,1,0.938834099753954,0.931337166658228,0.931592930769841,0.970276729344328,1,0.946690275281748,1,0.981083980839109,0.938518185304203,0.99207032592814,0.991090744426965,0.959845134226268,0.944720825347391,0.921442158541231,0.884712202909768,1,0.895009146197064,0.785871933314093
